scenario,x_value,seed,method,metric,value,users,rbs,samples_per_user,round,objective,selected_mass,mean_packet_error,matching_work_units,fractional_mass_ratio,runtime_seconds
linear_samples,40,0,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0009402991,15,12,40,0,127.7670630699,12.0000000000,0.0161813814,23128.5335573393,0.0000000000,0.0013452000
linear_samples,40,0,Continuous-LP(HiGHS),linear_regression_mse,0.0004006305,15,12,40,0,124.8405584864,12.0000000000,0.0100844968,32580.0000000000,0.0000000000,0.0025751002
linear_samples,40,0,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0007581135,15,12,40,0,132.0227780208,12.0000000000,0.0250474542,729180.0000000000,0.9999998938,0.0012441000
linear_samples,40,1,Paper-Hungarian,linear_regression_mse,0.0009354091,15,12,40,0,124.3798533446,12.0000000000,0.0091246945,2340.0000000000,0.0000000000,0.0000374999
linear_samples,40,1,Paper-OptUser-RandomRB,linear_regression_mse,0.0007359437,15,12,40,0,211.6676524088,11.0000000000,0.1174264827,180.0000000000,0.0000000000,0.0000439999
linear_samples,40,1,Paper-RandomUserRB,linear_regression_mse,0.0008961470,15,12,40,0,196.0766750509,12.0000000000,0.1584930730,180.0000000000,0.0000000000,0.0000215000
linear_samples,40,1,Paper-Wireless-PER,linear_regression_mse,0.0009354091,15,12,40,0,124.3798533446,12.0000000000,0.0091246945,2340.0000000000,0.0000000000,0.0000171000
linear_samples,40,1,LP-Relax+Projection,linear_regression_mse,0.0009354091,15,12,40,0,124.3798533446,12.0000000000,0.0091246945,2340.0000000000,0.0000000000,0.0024285000
linear_samples,40,1,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0025149501,15,12,40,0,127.7632093955,12.0000000000,0.0161733529,23128.5335573393,0.0000000000,0.0022933001
linear_samples,40,1,Continuous-LP(HiGHS),linear_regression_mse,0.0009354091,15,12,40,0,124.3798533446,12.0000000000,0.0091246945,32580.0000000000,0.0000000000,0.0023394001
linear_samples,40,1,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0007746466,15,12,40,0,131.1379386710,12.0000000000,0.0232040389,729180.0000000000,0.9999998840,0.0007472001
linear_samples,40,2,Paper-Hungarian,linear_regression_mse,0.0017542511,15,12,40,0,130.3775667848,12.0000000000,0.0216199308,2340.0000000000,0.0000000000,0.0000399998
linear_samples,40,2,Paper-OptUser-RandomRB,linear_regression_mse,0.0017089925,15,12,40,0,307.9216840360,8.0000000000,0.0872552626,180.0000000000,0.0000000000,0.0000503999
linear_samples,40,2,Paper-RandomUserRB,linear_regression_mse,0.0000279887,15,12,40,0,205.1761138358,12.0000000000,0.1774502372,180.0000000000,0.0000000000,0.0000250000
linear_samples,40,2,Paper-Wireless-PER,linear_regression_mse,0.0017542511,15,12,40,0,130.3775667848,12.0000000000,0.0216199308,2340.0000000000,0.0000000000,0.0000171999
linear_samples,40,2,LP-Relax+Projection,linear_regression_mse,0.0017542511,15,12,40,0,130.3775667848,12.0000000000,0.0216199308,2340.0000000000,0.0000000000,0.0021326998
linear_samples,40,2,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0002743442,15,12,40,0,134.0654107861,12.0000000000,0.0293029391,23128.5335573393,0.0000000000,0.0011894000
linear_samples,40,2,Continuous-LP(HiGHS),linear_regression_mse,0.0017542511,15,12,40,0,130.3775667848,12.0000000000,0.0216199308,32580.0000000000,0.0000000000,0.0019028999
linear_samples,40,2,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0004134156,15,12,40,0,137.3030705180,12.0000000000,0.0360480636,729180.0000000000,0.9999998143,0.0007925001
linear_samples,50,0,Paper-Hungarian,linear_regression_mse,0.0003620425,15,12,50,0,158.9132109849,12.0000000000,0.0148553516,2340.0000000000,0.0000000000,0.0000445000
linear_samples,50,0,Paper-OptUser-RandomRB,linear_regression_mse,0.0008385741,15,12,50,0,390.6269684145,8.0000000000,0.1015674210,180.0000000000,0.0000000000,0.0000463000
linear_samples,50,0,Paper-RandomUserRB,linear_regression_mse,0.0003573229,15,12,50,0,290.3281609366,12.0000000000,0.2338802682,180.0000000000,0.0000000000,0.0000233999
linear_samples,50,0,Paper-Wireless-PER,linear_regression_mse,0.0003620425,15,12,50,0,158.9132109849,12.0000000000,0.0148553516,2340.0000000000,0.0000000000,0.0000198002
linear_samples,50,0,LP-Relax+Projection,linear_regression_mse,0.0003620425,15,12,50,0,158.9132109849,12.0000000000,0.0148553516,2340.0000000000,0.0000000000,0.0026719000
linear_samples,50,0,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0002972999,15,12,50,0,162.9738615267,12.0000000000,0.0216231025,23128.5335573393,0.0000000000,0.0014505999
linear_samples,50,0,Continuous-LP(HiGHS),linear_regression_mse,0.0003620425,15,12,50,0,158.9132109849,12.0000000000,0.0148553516,32580.0000000000,0.0000000000,0.0019883001
linear_samples,50,0,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0003690291,15,12,50,0,165.4851482445,12.0000000000,0.0258085804,729180.0000000000,0.9999999605,0.0009496999
linear_samples,50,1,Paper-Hungarian,linear_regression_mse,0.0000462430,15,12,50,0,160.3250042969,12.0000000000,0.0172083405,2340.0000000000,0.0000000000,0.0000372001
linear_samples,50,1,Paper-OptUser-RandomRB,linear_regression_mse,0.0004068290,15,12,50,0,426.5337160449,7.0000000000,0.0758106173,180.0000000000,0.0000000000,0.0000595001
linear_samples,50,1,Paper-RandomUserRB,linear_regression_mse,0.0002272334,15,12,50,0,333.0104098200,10.0000000000,0.1660208196,180.0000000000,0.0000000000,0.0000284000
linear_samples,50,1,Paper-Wireless-PER,linear_regression_mse,0.0000462430,15,12,50,0,160.3250042969,12.0000000000,0.0172083405,2340.0000000000,0.0000000000,0.0000207000
linear_samples,50,1,LP-Relax+Projection,linear_regression_mse,0.0000462430,15,12,50,0,160.3250042969,12.0000000000,0.0172083405,2340.0000000000,0.0000000000,0.0021178999
linear_samples,50,1,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0002891346,15,12,50,0,165.2652090665,12.0000000000,0.0254420151,23128.5335573393,0.0000000000,0.0011278000
linear_samples,50,1,Continuous-LP(HiGHS),linear_regression_mse,0.0000462430,15,12,50,0,160.3250042969,12.0000000000,0.0172083405,32580.0000000000,0.0000000000,0.0022440001
linear_samples,50,1,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0000985663,15,12,50,0,167.0611866221,12.0000000000,0.0284353110,729180.0000000000,0.9999998637,0.0021699001
linear_samples,50,2,Paper-Hungarian,linear_regression_mse,0.0024344517,15,12,50,0,158.8302789181,12.0000000000,0.0147171315,2340.0000000000,0.0000000000,0.0000449999
linear_samples,50,2,Paper-OptUser-RandomRB,linear_regression_mse,0.0006710293,15,12,50,0,459.3594220752,6.0000000000,0.0311980736,180.0000000000,0.0000000000,0.0000832002
linear_samples,50,2,Paper-RandomUserRB,linear_regression_mse,0.0015148283,15,12,50,0,209.8386422769,12.0000000000,0.0997310705,180.0000000000,0.0000000000,0.0000416001
linear_samples,50,2,Paper-Wireless-PER,linear_regression_mse,0.0024344517,15,12,50,0,158.8302789181,12.0000000000,0.0147171315,2340.0000000000,0.0000000000,0.0000266999
linear_samples,50,2,LP-Relax+Projection,linear_regression_mse,0.0024344517,15,12,50,0,158.8302789181,12.0000000000,0.0147171315,2340.0000000000,0.0000000000,0.0027896999
linear_samples,50,2,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0021508324,15,12,50,0,160.5737661735,12.0000000000,0.0176229436,23128.5335573393,0.0000000000,0.0026412001
linear_samples,50,2,Continuous-LP(HiGHS),linear_regression_mse,0.0024344517,15,12,50,0,158.8302789181,12.0000000000,0.0147171315,32580.0000000000,0.0000000000,0.0022695998
linear_samples,50,2,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0019413749,15,12,50,0,165.4991644726,12.0000000000,0.0258319408,729180.0000000000,0.9999997583,0.0019024001
matching_users,3,0,Paper-Hungarian,matching_iterations,59.7208049090,3,12,0,0,2.9094551796,3.0000000000,0.0163406411,144.0000000000,0.0000000000,0.0000294000
matching_users,3,0,Paper-OptUser-RandomRB,matching_iterations,43.3310149517,3,12,0,0,19.1592273960,3.0000000000,0.0984775214,36.0000000000,0.0000000000,0.0000374999
matching_users,3,0,Paper-RandomUserRB,matching_iterations,43.3310149517,3,12,0,0,23.1452500832,3.0000000000,0.1085975306,36.0000000000,0.0000000000,0.0000225999
matching_users,3,0,Paper-Wireless-PER,matching_iterations,59.7208049090,3,12,0,0,2.9094551796,3.0000000000,0.0163406411,144.0000000000,0.0000000000,0.0000088001
matching_users,3,0,LP-Relax+Projection,matching_iterations,59.7208049090,3,12,0,0,2.9094551796,3.0000000000,0.0163406411,144.0000000000,0.0000000000,0.0016125001
matching_users,3,0,Hybrid-Score-Greedy(alpha=0.25),matching_iterations,101.0564242246,3,12,0,0,2.9094551796,3.0000000000,0.0163406411,4542.1173000519,0.0000000000,0.0014370000
matching_users,3,0,Continuous-LP(HiGHS),matching_iterations,86.3422478421,3,12,0,0,2.9094551796,3.0000000000,0.0163406411,1332.0000000000,0.0000000000,0.0023489001
matching_users,3,0,Soft-Entropy-KKT(tau=1),matching_iterations,147.8882413453,3,12,0,0,5.4071916537,3.0000000000,0.0311951312,225036.0000000000,0.9999993555,0.0003768001
matching_users,3,1,Paper-Hungarian,matching_iterations,59.7208049090,3,12,0,0,1.4345400320,3.0000000000,0.0066630047,144.0000000000,0.0000000000,0.0000362000
matching_users,3,1,Paper-OptUser-RandomRB,matching_iterations,43.3310149517,3,12,0,0,134.3397576005,3.0000000000,0.3210267217,36.0000000000,0.0000000000,0.0000332999
matching_users,3,1,Paper-RandomUserRB,matching_iterations,43.3310149517,3,12,0,0,14.1269567517,3.0000000000,0.0539746865,36.0000000000,0.0000000000,0.0000205999
matching_users,3,1,Paper-Wireless-PER,matching_iterations,59.7208049090,3,12,0,0,1.4345400320,3.0000000000,0.0066630047,144.0000000000,0.0000000000,0.0000088001
matching_users,3,1,LP-Relax+Projection,matching_iterations,59.7208049090,3,12,0,0,1.4345400320,3.0000000000,0.0066630047,144.0000000000,0.0000000000,0.0025601999
matching_users,3,1,Hybrid-Score-Greedy(alpha=0.25),matching_iterations,101.0564242246,3,12,0,0,1.4345400320,3.0000000000,0.0066630047,4542.1173000519,0.0000000000,0.0010611000
matching_users,3,1,Continuous-LP(HiGHS),matching_iterations,86.3422478421,3,12,0,0,1.4345400320,3.0000000000,0.0066630047,1332.0000000000,0.0000000000,0.0016774000
matching_users,3,1,Soft-Entropy-KKT(tau=1),matching_iterations,147.8882413453,3,12,0,0,2.8800245902,2.9999999984,0.0148144386,225036.0000000000,0.9999998906,0.0001842000
matching_users,3,2,Paper-Hungarian,matching_iterations,59.7208049090,3,12,0,0,2.1218218249,3.0000000000,0.0109822970,144.0000000000,0.0000000000,0.0000459000
matching_users,3,2,Paper-OptUser-RandomRB,matching_iterations,43.3310149517,3,12,0,0,6.9672293444,3.0000000000,0.0419267207,36.0000000000,0.0000000000,0.0000775999
matching_users,3,2,Paper-RandomUserRB,matching_iterations,43.3310149517,3,12,0,0,23.6552754600,3.0000000000,0.0906569362,36.0000000000,0.0000000000,0.0000258000
matching_users,3,2,Paper-Wireless-PER,matching_iterations,59.7208049090,3,12,0,0,2.1218218249,3.0000000000,0.0109822970,144.0000000000,0.0000000000,0.0000205000
matching_users,3,2,LP-Relax+Projection,matching_iterations,59.7208049090,3,12,0,0,2.1218218249,3.0000000000,0.0109822970,144.0000000000,0.0000000000,0.0021435001
matching_users,3,2,Hybrid-Score-Greedy(alpha=0.25),matching_iterations,101.0564242246,3,12,0,0,2.1218218249,3.0000000000,0.0109822970,4542.1173000519,0.0000000000,0.0017023000
matching_users,3,2,Continuous-LP(HiGHS),matching_iterations,86.3422478421,3,12,0,0,2.1218218249,3.0000000000,0.0109822970,1332.0000000000,0.0000000000,0.0017993001
matching_users,3,2,Soft-Entropy-KKT(tau=1),matching_iterations,147.8882413453,3,12,0,0,3.7853748133,3.0000000000,0.0190286171,225036.0000000000,0.9999999792,0.0001975000
matching_users,5,0,Paper-Hungarian,matching_iterations,70.6665355000,5,12,0,0,5.4169641589,5.0000000000,0.0153550643,360.0000000000,0.0000000000,0.0000285001
matching_users,5,0,Paper-OptUser-RandomRB,matching_iterations,49.3304863701,5,12,0,0,121.0727798747,3.0000000000,0.0594479390,60.0000000000,0.0000000000,0.0000396001
matching_users,5,0,Paper-RandomUserRB,matching_iterations,49.3304863701,5,12,0,0,17.6548901009,5.0000000000,0.0542830655,60.0000000000,0.0000000000,0.0000237999
matching_users,5,0,Paper-Wireless-PER,matching_iterations,70.6665355000,5,12,0,0,5.4169641589,5.0000000000,0.0153550643,360.0000000000,0.0000000000,0.0000116001
matching_users,5,0,LP-Relax+Projection,matching_iterations,70.6665355000,5,12,0,0,5.4169641589,5.0000000000,0.0153550643,360.0000000000,0.0000000000,0.0018674000
matching_users,5,0,Hybrid-Score-Greedy(alpha=0.25),matching_iterations,107.2551546737,5,12,0,0,6.2049503554,5.0000000000,0.0187162511,7614.4134357365,0.0000000000,0.0014841999
matching_users,5,0,Continuous-LP(HiGHS),matching_iterations,98.4658993574,5,12,0,0,5.4169641589,5.0000000000,0.0153550643,3660.0000000000,0.0000000000,0.0021533000
matching_users,5,0,Soft-Entropy-KKT(tau=1),matching_iterations,150.8927162098,5,12,0,0,8.7435991368,5.0000000000,0.0242120032,289060.0000000000,0.9999998117,0.0002989999
