scenario,x_value,method,metric,runs,value_mean,value_std,objective_mean,selected_mass_mean,mean_packet_error_mean,matching_work_units_mean,fractional_mass_ratio_mean,runtime_seconds_mean
digit_iterations,6,Paper-Hungarian,digit_accuracy,3,0.7027027027,0.0277499257,244.2147692081,12.0000000000,0.0123397388,2340.0000000000,0.0000000000,0.0001145667
digit_iterations,6,Paper-OptUser-RandomRB,digit_accuracy,3,0.5400105988,0.0138800221,524.1381853648,9.0000000000,0.0795411382,180.0000000000,0.0000000000,0.0000537333
digit_iterations,6,Paper-RandomUserRB,digit_accuracy,3,0.7154213037,0.0704682997,372.4997725417,11.6666666667,0.1242223097,180.0000000000,0.0000000000,0.0000288666
digit_iterations,6,Paper-Wireless-PER,digit_accuracy,3,0.6995230524,0.0545196445,244.2147692081,12.0000000000,0.0123397388,2340.0000000000,0.0000000000,0.0000187333
digit_iterations,6,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.7821939587,0.0137376591,251.0430086846,12.0000000000,0.0192771856,729180.0000000000,0.9999998475,0.0027501666
digit_iterations,8,Continuous-LP(HiGHS),digit_accuracy,3,0.7493375728,0.0177193996,247.7534170301,12.0000000000,0.0161271132,32580.0000000000,0.0000000000,0.0019301333
digit_iterations,8,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.7938526762,0.0356048268,254.5059991595,12.0000000000,0.0219566628,23128.5335573393,0.0000000000,0.0013679334
digit_iterations,8,LP-Relax+Projection,digit_accuracy,3,0.7493375728,0.0177193996,247.7534170301,12.0000000000,0.0161271132,2340.0000000000,0.0000000000,0.0027175334
digit_iterations,8,Paper-Hungarian,digit_accuracy,3,0.7493375728,0.0177193996,247.7534170301,12.0000000000,0.0161271132,2340.0000000000,0.0000000000,0.0000609666
digit_iterations,8,Paper-OptUser-RandomRB,digit_accuracy,3,0.7148913619,0.0728009529,474.1047152419,10.6666666667,0.1658561889,180.0000000000,0.0000000000,0.0000449334
digit_iterations,8,Paper-RandomUserRB,digit_accuracy,3,0.7503974563,0.0438476727,391.4690891283,11.6666666667,0.1442025955,180.0000000000,0.0000000000,0.0000242334
