scenario,x_value,method,runs,objective_mean,objective_gap_pct_mean,selected_users_mean,expected_successful_samples_mean,mean_packet_error_mean,convergence_gap_mean,fl_quality_mean,runtime_seconds_mean,runtime_seconds_std
rbs,9,Entropy-Relax(tau=0.3)+Greedy,5,482.4100256437,48.2825561502,9.0000000000,1031.1899743563,0.0345814884,482.4100256437,0.6859666939,0.0041165600,0.0013188983
rbs,9,Entropy-Relax(tau=0.3)+Projection,5,458.7165272910,39.0761369698,9.0000000000,1054.8834727090,0.0318226759,458.7165272910,0.7016521266,0.0030877200,0.0003417107
rbs,9,Entropy-Relax(tau=0.8)+Greedy,5,477.0220227523,48.8430121886,9.0000000000,1036.5779772477,0.0337769957,477.0220227523,0.6860881559,0.0051505400,0.0038668178
rbs,9,Entropy-Relax(tau=0.8)+Projection,5,439.2937649500,34.9810701950,9.0000000000,1074.3062350500,0.0322018243,439.2937649500,0.7123651781,0.0043180600,0.0020004347
rbs,9,Greedy-Cost,5,350.3828545016,4.5910083647,9.0000000000,1163.2171454984,0.0455691502,350.3828545016,0.7694551859,0.0001272600,0.0000805876
rbs,9,Hungarian,5,334.6804176659,0.0000000000,9.0000000000,1178.9195823341,0.0292355008,334.6804176659,0.7790825901,0.0001346200,0.0001232573
rbs,9,Hybrid-Score-Greedy(alpha=0.25),5,349.2295078441,4.6817485600,9.0000000000,1164.3704921559,0.0402275627,349.2295078441,0.7695836229,0.0022532800,0.0005462799
rbs,9,LP-Relax+Projection,5,334.6804176659,0.0000000000,9.0000000000,1178.9195823341,0.0292355008,334.6804176659,0.7790825901,0.0156651000,0.0222769774
rbs,12,Entropy-Relax(tau=0.1)+Greedy,5,285.1737189270,66.9851893518,12.0000000000,1335.4262810730,0.0356615042,285.1737189270,0.8224584510,0.0034297000,0.0006744509
rbs,12,Entropy-Relax(tau=0.1)+Projection,5,277.1175935985,58.9023336437,12.0000000000,1343.4824064015,0.0304180531,277.1175935985,0.8302996740,0.0040751400,0.0014467230
rbs,12,Entropy-Relax(tau=0.3)+Greedy,5,260.3350495763,51.1787343841,12.0000000000,1360.2649504237,0.0386128398,260.3350495763,0.8378339164,0.0041384000,0.0016649910
rbs,12,Entropy-Relax(tau=0.3)+Projection,5,267.8574626839,55.2357217458,12.0000000000,1352.7425373161,0.0319034227,267.8574626839,0.8355821217,0.0037626600,0.0007655715
rbs,12,Entropy-Relax(tau=0.8)+Greedy,5,247.8568241275,42.7063088983,12.0000000000,1372.7431758725,0.0401589151,247.8568241275,0.8466688517,0.0050000800,0.0038020212
rbs,12,Entropy-Relax(tau=0.8)+Projection,5,267.1961682636,54.8676649681,12.0000000000,1353.4038317364,0.0289816026,267.1961682636,0.8359910795,0.0059576800,0.0017872434
rbs,12,Greedy-Cost,5,188.7338702575,7.4107561764,12.0000000000,1431.8661297425,0.0394480269,188.7338702575,0.8839122445,0.0000912600,0.0000408751
rbs,12,Hungarian,5,177.0963137922,0.0000000000,12.0000000000,1443.5036862078,0.0268808615,177.0963137922,0.8910574421,0.0001051800,0.0000991668
rbs,12,Hybrid-Score-Greedy(alpha=0.25),5,191.0673435522,8.2756320409,12.0000000000,1429.5326564478,0.0384486773,191.0673435522,0.8823675883,0.0016729600,0.0002249368
rbs,12,LP-Relax+Projection,5,177.0963137922,0.0000000000,12.0000000000,1443.5036862078,0.0268808615,177.0963137922,0.8910574421,0.0045915200,0.0010928580
rbs,15,Entropy-Relax(tau=0.1)+Greedy,5,37.5157649805,33.6485893905,15.0000000000,1533.2842350195,0.0308832750,37.5157649805,0.9761718504,0.0053501000,0.0016555097
rbs,15,Entropy-Relax(tau=0.1)+Projection,5,28.2848350094,0.3905601602,15.0000000000,1542.5151649906,0.0223438018,28.2848350094,0.9820380793,0.0035766000,0.0008960940
rbs,15,Entropy-Relax(tau=0.3)+Greedy,5,41.7954672500,47.0015007976,15.0000000000,1529.0045327500,0.0357432375,41.7954672500,0.9734747438,0.0037045000,0.0007357315
rbs,15,Entropy-Relax(tau=0.3)+Projection,5,28.2519010156,0.0788576536,15.0000000000,1542.5480989844,0.0226090209,28.2519010156,0.9820618827,0.0041315600,0.0011215272
rbs,15,Entropy-Relax(tau=0.8)+Greedy,5,47.4056891804,69.7220854666,15.0000000000,1523.3943108196,0.0364986886,47.4056891804,0.9698285917,0.0032933200,0.0004001784
rbs,15,Entropy-Relax(tau=0.8)+Projection,5,28.2519010156,0.0788576536,15.0000000000,1542.5480989844,0.0226090209,28.2519010156,0.9820618827,0.0045036799,0.0027405531
rbs,15,Greedy-Cost,5,52.1563312648,89.3886248339,15.0000000000,1518.6436687352,0.0603562426,52.1563312648,0.9667925947,0.0001889600,0.0001794173
