scenario,x_value,seed,users,rbs,method,objective,objective_gap_pct,selected_users,expected_successful_samples,mean_packet_error,convergence_gap,fl_quality,runtime_seconds
users,10,11014,10,12,Entropy-Relax(tau=0.8)+Projection,11.6871214405,0.0000000000,10,994.3128785595,0.0162237556,11.6871214405,0.9883825831,0.0071957001
users,10,11014,10,12,Hybrid-Score-Greedy(alpha=0.25),17.8179457626,52.4579500030,10,988.1820542374,0.0270911767,17.8179457626,0.9822883243,0.0033763000
users,15,11515,15,12,Hungarian,137.3194065996,0.0000000000,12,1619.6805934004,0.0168618249,137.3194065996,0.9218443901,0.0001134000
users,15,11515,15,12,Greedy-Cost,173.2581564181,26.1716466073,12,1583.7418435819,0.0496033234,173.2581564181,0.9013897801,0.0003854000
users,15,11515,15,12,LP-Relax+Projection,137.3194065996,0.0000000000,12,1619.6805934004,0.0168618249,137.3194065996,0.9218443901,0.0057698000
users,15,11515,15,12,Entropy-Relax(tau=0.1)+Greedy,234.8418110773,71.0186614497,12,1522.1581889227,0.0216237358,234.8418110773,0.8663393221,0.0069409000
users,15,11515,15,12,Entropy-Relax(tau=0.1)+Projection,232.0040172538,68.9520971571,12,1524.9959827462,0.0201894330,232.0040172538,0.8679544580,0.0063195000
users,15,11515,15,12,Entropy-Relax(tau=0.3)+Greedy,232.4438471565,69.2723941302,12,1524.5561528435,0.0205814411,232.4438471565,0.8677041280,0.0047147999
users,15,11515,15,12,Entropy-Relax(tau=0.3)+Projection,232.0040172538,68.9520971571,12,1524.9959827462,0.0201894330,232.0040172538,0.8679544580,0.0029579001
users,15,11515,15,12,Entropy-Relax(tau=0.8)+Greedy,232.4438471565,69.2723941302,12,1524.5561528435,0.0205814411,232.4438471565,0.8677041280,0.0037727001
users,15,11515,15,12,Entropy-Relax(tau=0.8)+Projection,232.0040172538,68.9520971571,12,1524.9959827462,0.0201894330,232.0040172538,0.8679544580,0.0026900000
users,15,11515,15,12,Hybrid-Score-Greedy(alpha=0.25),141.2923189841,2.8931907608,12,1615.7076810159,0.0181277615,141.2923189841,0.9195831992,0.0019904000
users,15,11516,15,12,Hungarian,140.7693123741,0.0000000000,12,1396.2306876259,0.0217169105,140.7693123741,0.9084129392,0.0000576000
users,15,11516,15,12,Greedy-Cost,154.4362169835,9.7087244222,12,1382.5637830165,0.0371961913,154.4362169835,0.8995210039,0.0000737000
users,15,11516,15,12,LP-Relax+Projection,140.7693123741,0.0000000000,12,1396.2306876259,0.0217169105,140.7693123741,0.9084129392,0.0036242000
users,15,11516,15,12,Entropy-Relax(tau=0.1)+Greedy,191.5407946972,36.0671523265,12,1345.4592053028,0.0310125242,191.5407946972,0.8753800945,0.0047676001
users,15,11516,15,12,Entropy-Relax(tau=0.1)+Projection,183.2033547804,30.1443842344,12,1353.7966452196,0.0270446401,183.2033547804,0.8808045837,0.0076296000
users,15,11516,15,12,Entropy-Relax(tau=0.3)+Greedy,242.4962996077,72.2650310056,12,1294.5037003923,0.0452334931,242.4962996077,0.8422275214,0.0060910999
users,15,11516,15,12,Entropy-Relax(tau=0.3)+Projection,224.6984120833,59.6217302576,12,1312.3015879167,0.0326925006,224.6984120833,0.8538071489,0.0069619000
users,15,11516,15,12,Entropy-Relax(tau=0.8)+Greedy,250.5358397472,77.9761764278,12,1286.4641602528,0.0475321736,250.5358397472,0.8369968512,0.0126138000
users,15,11516,15,12,Entropy-Relax(tau=0.8)+Projection,224.6984120833,59.6217302576,12,1312.3015879167,0.0326925006,224.6984120833,0.8538071489,0.0079416999
users,15,11516,15,12,Hybrid-Score-Greedy(alpha=0.25),150.3627682765,6.8150193679,12,1386.6372317235,0.0310548198,150.3627682765,0.9021712633,0.0027534000
users,15,11517,15,12,Hungarian,186.5197490757,0.0000000000,12,1385.4802509243,0.0264890839,186.5197490757,0.8813487601,0.0000814000
users,15,11517,15,12,Greedy-Cost,199.4358251099,6.9247766514,12,1372.5641748901,0.0442697413,199.4358251099,0.8731324268,0.0014086000
users,15,11517,15,12,LP-Relax+Projection,186.5197490757,0.0000000000,12,1385.4802509243,0.0264890839,186.5197490757,0.8813487601,0.0048116000
users,15,11517,15,12,Entropy-Relax(tau=0.1)+Greedy,320.5333276753,71.8495383270,12,1251.4666723247,0.0424850971,320.5333276753,0.7960983921,0.0054277000
users,15,11517,15,12,Entropy-Relax(tau=0.1)+Projection,293.9153915999,57.5786977284,12,1278.0846084001,0.0327038679,293.9153915999,0.8130309214,0.0073572000
users,15,11517,15,12,Entropy-Relax(tau=0.3)+Greedy,209.8977467052,12.5337921294,12,1362.1022532948,0.0468526290,209.8977467052,0.8664772604,0.0091108000
users,15,11517,15,12,Entropy-Relax(tau=0.3)+Projection,296.6146360757,59.0258605566,12,1275.3853639243,0.0386772692,296.6146360757,0.8113138447,0.0046711001
users,15,11517,15,12,Entropy-Relax(tau=0.8)+Greedy,223.1918945672,19.6612667952,12,1348.8081054328,0.0526645434,223.1918945672,0.8580204233,0.0055200000
users,15,11517,15,12,Entropy-Relax(tau=0.8)+Projection,296.6146360757,59.0258605566,12,1275.3853639243,0.0386772692,296.6146360757,0.8113138447,0.0054019000
users,15,11517,15,12,Hybrid-Score-Greedy(alpha=0.25),191.4607301990,2.6490391220,12,1380.5392698010,0.0299144751,191.4607301990,0.8782056424,0.0056858000
users,15,11518,15,12,Hungarian,100.3517719515,0.0000000000,12,1258.6482280485,0.0135344805,100.3517719515,0.9261576365,0.0000588000
users,15,11518,15,12,Greedy-Cost,120.6193631321,20.1965453987,12,1238.3806368679,0.0434688130,120.6193631321,0.9112440301,0.0000740001
users,15,11518,15,12,LP-Relax+Projection,100.3517719515,0.0000000000,12,1258.6482280485,0.0135344805,100.3517719515,0.9261576365,0.0029169000
users,15,11518,15,12,Entropy-Relax(tau=0.1)+Greedy,223.1274417987,122.3452934209,12,1135.8725582013,0.0277408356,223.1274417987,0.8358149803,0.0043033999
users,15,11518,15,12,Entropy-Relax(tau=0.1)+Projection,339.2725234341,238.0832414180,12,1019.7274765659,0.0190921358,339.2725234341,0.7503513441,0.0087675001
users,15,11518,15,12,Entropy-Relax(tau=0.3)+Greedy,220.7486094181,119.9747997720,12,1138.2513905819,0.0252184229,220.7486094181,0.8375654088,0.0117478999
users,15,11518,15,12,Entropy-Relax(tau=0.3)+Projection,283.8226453664,182.8277367175,12,1075.1773546336,0.0166291179,283.8226453664,0.7911533147,0.0087677999
users,15,11518,15,12,Entropy-Relax(tau=0.8)+Greedy,220.7486094181,119.9747997720,12,1138.2513905819,0.0252184229,220.7486094181,0.8375654088,0.0060455000
users,15,11518,15,12,Entropy-Relax(tau=0.8)+Projection,283.8226453664,182.8277367175,12,1075.1773546336,0.0166291179,283.8226453664,0.7911533147,0.0060409000
users,15,11518,15,12,Hybrid-Score-Greedy(alpha=0.25),116.5875271030,16.1788425214,12,1242.4124728970,0.0359586558,116.5875271030,0.9142107968,0.0028223000
users,15,11519,15,12,Hungarian,120.8837809097,0.0000000000,12,1713.1162190903,0.0151764319,120.8837809097,0.9340873605,0.0000577001
users,15,11519,15,12,Greedy-Cost,140.2678364525,16.0352823157,12,1693.7321635475,0.0277181880,140.2678364525,0.9235180826,0.0000879000
users,15,11519,15,12,LP-Relax+Projection,120.8837809097,0.0000000000,12,1713.1162190903,0.0151764319,120.8837809097,0.9340873605,0.0033038000
users,15,11519,15,12,Entropy-Relax(tau=0.1)+Greedy,421.9720441666,249.0725066597,12,1412.0279558334,0.0306026882,421.9720441666,0.7699170970,0.0037289000
users,15,11519,15,12,Entropy-Relax(tau=0.1)+Projection,407.9379053756,237.4628939512,12,1426.0620946244,0.0217347920,407.9379053756,0.7775692991,0.0069856000
users,15,11519,15,12,Entropy-Relax(tau=0.3)+Greedy,334.7535227748,176.9217840934,12,1499.2464772252,0.0322458176,334.7535227748,0.8174735427,0.0070054000
users,15,11519,15,12,Entropy-Relax(tau=0.3)+Projection,407.9379053756,237.4628939512,12,1426.0620946244,0.0217347920,407.9379053756,0.7775692991,0.0081618000
users,15,11519,15,12,Entropy-Relax(tau=0.8)+Greedy,343.8316127653,184.4315508480,12,1490.1683872347,0.0363410896,343.8316127653,0.8125236572,0.0105377000
users,15,11519,15,12,Entropy-Relax(tau=0.8)+Projection,407.9379053756,237.4628939512,12,1426.0620946244,0.0217347920,407.9379053756,0.7775692991,0.0087637000
users,15,11519,15,12,Hybrid-Score-Greedy(alpha=0.25),132.5769825016,9.6730938624,12,1701.4230174984,0.0222433724,132.5769825016,0.9277115690,0.0032729000
users,20,12020,20,12,Hungarian,377.6501099935,0.0000000000,12,1644.3498900065,0.0120210730,377.6501099935,0.8132294214,0.0002688000
users,20,12020,20,12,Greedy-Cost,403.4157213702,6.8226145564,12,1618.5842786298,0.0206769747,403.4157213702,0.8004867847,0.0010665000
users,20,12020,20,12,LP-Relax+Projection,377.6501099935,0.0000000000,12,1644.3498900065,0.0120210730,377.6501099935,0.8132294214,0.0079855000
users,20,12020,20,12,Entropy-Relax(tau=0.1)+Greedy,599.8794893748,58.8453103814,12,1422.1205106252,0.0245563493,599.8794893748,0.7033236947,0.0113984999
users,20,12020,20,12,Entropy-Relax(tau=0.1)+Projection,694.9697297215,84.0247656047,12,1327.0302702785,0.0220034692,694.9697297215,0.6562958805,0.0095390001
users,20,12020,20,12,Entropy-Relax(tau=0.3)+Greedy,704.7259671548,86.6081720900,12,1317.2740328452,0.0364928617,704.7259671548,0.6514708372,0.0124137000
users,20,12020,20,12,Entropy-Relax(tau=0.3)+Projection,695.8215391779,84.2503208035,12,1326.1784608221,0.0242209253,695.8215391779,0.6558746097,0.0109937000
users,20,12020,20,12,Entropy-Relax(tau=0.8)+Greedy,710.6464989936,88.1759014994,12,1311.3535010064,0.0357096062,710.6464989936,0.6485427799,0.0083358000
