scenario,x_value,seed,users,rbs,method,linear_objective,linear_gap_pct,entropy_objective,soft_mass,expected_successful_samples,mean_packet_error,fl_quality,fractional_mass_ratio,kkt_residual,runtime_seconds
users,80,38082,80,12,Soft-Entropy-KKT(tau=25),6168.6386340740,5.9490112505,-6185.7551681461,11.9781431987,1759.3613659260,0.0672385615,0.2219174276,1.0000000000,6.5306537955e-11,0.0003276000
users,80,38083,80,12,Hungarian(reference),6975.5613969435,0.0000000000,6975.5613969435,12.0000000000,2134.4386030565,0.0168359440,0.2342962243,0.0000000000,0.0000000000e+00,0.0000705000
users,80,38083,80,12,Continuous-LP(HiGHS),6975.5613969435,0.0000000000,6975.5613969435,12.0000000000,2134.4386030565,0.0168359440,0.2342962243,0.0000000000,0.0000000000e+00,0.0064542000
users,80,38083,80,12,Soft-Entropy-KKT(tau=1),6982.0280538071,0.0927044649,6521.9550219309,12.0000000000,2127.9719461929,0.0184428590,0.2335863827,0.9999996701,9.2715612965e-11,0.0031030000
users,80,38083,80,12,Soft-Entropy-KKT(tau=5),7018.8721918119,0.6208933218,4645.7105732442,12.0000000000,2091.1278081881,0.0260513883,0.2295420207,0.9999972454,1.1816103651e-11,0.0006203001
users,80,38083,80,12,Soft-Entropy-KKT(tau=25),7288.1769590223,4.4815828331,-5109.1542224072,11.9859274863,1821.8230409777,0.0517981701,0.1999805753,1.0000000000,4.2326142591e-12,0.0001963000
users,80,38084,80,12,Hungarian(reference),7376.2353450261,0.0000000000,7376.2353450261,12.0000000000,2208.7646549739,0.0137500602,0.2304397136,0.0000000000,0.0000000000e+00,0.0000762000
users,80,38084,80,12,Continuous-LP(HiGHS),7376.2353450261,0.0000000000,7376.2353450261,12.0000000000,2208.7646549739,0.0137500602,0.2304397136,0.0000000000,0.0000000000e+00,0.0054608999
users,80,38084,80,12,Soft-Entropy-KKT(tau=1),7381.2684560014,0.0682341430,6922.9677288330,12.0000000000,2203.7315439986,0.0156416131,0.2299146107,0.9999991107,7.0949246478e-11,0.0044205000
users,80,38084,80,12,Soft-Entropy-KKT(tau=5),7423.5881691181,0.6419646592,5054.9346899914,12.0000000000,2161.4118308819,0.0251649346,0.2254994085,0.9999977912,4.9393822366e-13,0.0006688000
users,80,38084,80,12,Soft-Entropy-KKT(tau=25),7689.7623505546,4.2505016565,-4710.5044366354,11.9894190319,1895.2376494454,0.0579195719,0.1977295409,1.0000000000,1.6227019728e-12,0.0002151000
rbs,5,40505,15,5,Hungarian(reference),972.7484881305,0.0000000000,972.7484881305,5.0000000000,848.2515118695,0.0342656535,0.4658163162,0.0000000000,0.0000000000e+00,0.0000230001
rbs,5,40505,15,5,Continuous-LP(HiGHS),972.7484881305,0.0000000000,972.7484881305,5.0000000000,848.2515118695,0.0342656535,0.4658163162,0.0000000000,0.0000000000e+00,0.0017651001
rbs,5,40505,15,5,Soft-Entropy-KKT(tau=1),974.6703506316,0.1975703406,910.3501733652,5.0000000000,846.3296493684,0.0330563220,0.4647609277,0.9999998363,6.8040648560e-06,0.0038584000
rbs,5,40505,15,5,Soft-Entropy-KKT(tau=5),987.3904281923,1.5052133455,642.1819517462,5.0000000000,833.6095718077,0.0360123918,0.4577757121,0.9999998292,1.0522471783e-11,0.0004010000
rbs,5,40505,15,5,Soft-Entropy-KKT(tau=25),1057.7705739892,8.7403976358,-805.0376664110,4.9834702333,763.2294260108,0.0643528797,0.4191265382,1.0000000000,1.6653345369e-15,0.0001863000
rbs,5,40506,15,5,Hungarian(reference),881.5308890683,0.0000000000,881.5308890683,5.0000000000,888.4691109317,0.0168660225,0.5019599497,0.0000000000,0.0000000000e+00,0.0000243000
rbs,5,40506,15,5,Continuous-LP(HiGHS),881.5308890683,0.0000000000,881.5308890683,5.0000000000,888.4691109317,0.0168660225,0.5019599497,0.0000000000,0.0000000000e+00,0.0018594000
rbs,5,40506,15,5,Soft-Entropy-KKT(tau=1),883.0031815365,0.1670154145,819.0375083519,5.0000000000,886.9968184635,0.0193054023,0.5011281460,0.9999999761,7.5128903099e-11,0.0026162000
rbs,5,40506,15,5,Soft-Entropy-KKT(tau=5),894.0715270811,1.4225976841,553.0702227105,5.0000000000,875.9284729189,0.0296961863,0.4948748435,0.9999999638,9.3512309007e-11,0.0007349000
rbs,5,40506,15,5,Soft-Entropy-KKT(tau=25),971.1555348589,10.1669319705,-885.3754974968,4.9848434809,798.8444651411,0.0591002886,0.4513245566,1.0000000000,1.4568346529e-12,0.0002202000
rbs,5,40507,15,5,Hungarian(reference),791.0249370112,0.0000000000,791.0249370112,5.0000000000,873.9750629888,0.0366514936,0.5249099477,0.0000000000,0.0000000000e+00,0.0000348000
rbs,5,40507,15,5,Continuous-LP(HiGHS),791.0249370112,0.0000000000,791.0249370112,5.0000000000,873.9750629888,0.0366514936,0.5249099477,0.0000000000,0.0000000000e+00,0.0013667999
rbs,5,40507,15,5,Soft-Entropy-KKT(tau=1),792.3393498424,0.1661657894,728.9923900429,5.0000000000,872.6606501576,0.0380220830,0.5241205106,0.9999998956,1.3882174987e-04,0.0040774000
rbs,5,40507,15,5,Soft-Entropy-KKT(tau=5),800.9111692587,1.2498003268,467.1634192827,5.0000000000,864.0888307413,0.0451293759,0.5189722707,0.9999998834,4.5401904458e-11,0.0013341999
rbs,5,40507,15,5,Soft-Entropy-KKT(tau=25),888.9259337020,12.3764741300,-947.3693603040,4.9752543685,776.0740662980,0.0798026308,0.4661105503,1.0000000000,2.6490587501e-11,0.0002023000
rbs,5,40508,15,5,Hungarian(reference),897.4218637827,0.0000000000,897.4218637827,5.0000000000,817.5781362173,0.0205362676,0.4767219453,0.0000000000,0.0000000000e+00,0.0000314000
rbs,5,40508,15,5,Continuous-LP(HiGHS),897.4218637827,0.0000000000,897.4218637827,5.0000000000,817.5781362173,0.0205362676,0.4767219453,0.0000000000,0.0000000000e+00,0.0017067000
rbs,5,40508,15,5,Soft-Entropy-KKT(tau=1),898.8714999355,0.1615334116,835.7136634456,5.0000000000,816.1285000645,0.0232145647,0.4758766764,0.9999999818,7.7768347317e-11,0.0041711000
